LBRM2903_SCAF000086	796	927	-	LBRM2903_000005300.1	five_prime_UTR
LBRM2903_SCAF000168	39	80	+	LBRM2903_000006000.1	five_prime_UTR
LBRM2903_SCAF000260	128	259	+	LBRM2903_000006600.1	five_prime_UTR
LBRM2903_SCAF000568	1771	1985	-	LBRM2903_000008300.1	five_prime_UTR
LBRM2903_SCAF000568	6165	6938	-	LBRM2903_000008400.1	five_prime_UTR
LBRM2903_SCAF000568	14356	14896	-	LBRM2903_000008500.1	five_prime_UTR
LBRM2903_SCAF000686	1027	1068	-	LBRM2903_000009500.1	five_prime_UTR
LbrM2903_01	4896	4974	-	LBRM2903_010005000.1	five_prime_UTR
LbrM2903_01	7603	7796	-	LBRM2903_010005100.1	five_prime_UTR
LbrM2903_01	11145	11552	-	LBRM2903_010005200.1	five_prime_UTR
LbrM2903_01	12684	12957	-	LBRM2903_010005300.1	five_prime_UTR
LbrM2903_01	16876	17158	-	LBRM2903_010005400.1	five_prime_UTR
LbrM2903_01	18846	19111	-	LBRM2903_010005500.1	five_prime_UTR
LbrM2903_01	21839	22146	-	LBRM2903_010005600.1	five_prime_UTR
LbrM2903_01	23367	23498	-	LBRM2903_010005700.1	five_prime_UTR
LbrM2903_01	25721	25841	-	LBRM2903_010005800.1	five_prime_UTR
LbrM2903_01	27518	27782	-	LBRM2903_010005900.1	five_prime_UTR
LbrM2903_01	29109	29576	-	LBRM2903_010006000.1	five_prime_UTR
LbrM2903_01	32274	32391	-	LBRM2903_010006100.1	five_prime_UTR
LbrM2903_01	34833	34951	-	LBRM2903_010006200.1	five_prime_UTR
LbrM2903_01	37186	37303	-	LBRM2903_010006300.1	five_prime_UTR
LbrM2903_01	38256	38452	-	LBRM2903_010006400.1	five_prime_UTR
LbrM2903_01	39331	39407	-	LBRM2903_010006500.1	five_prime_UTR
LbrM2903_01	45917	46612	-	LBRM2903_010006600.1	five_prime_UTR
LbrM2903_01	50694	51188	-	LBRM2903_010006700.1	five_prime_UTR
LbrM2903_01	52332	52439	-	LBRM2903_010006800.1	five_prime_UTR
LbrM2903_01	53805	53850	-	LBRM2903_010006900.1	five_prime_UTR
LbrM2903_01	57180	57416	-	LBRM2903_010007000.1	five_prime_UTR
LbrM2903_01	61870	62444	-	LBRM2903_010007100.1	five_prime_UTR
LbrM2903_01	63790	63817	-	LBRM2903_010007200.1	five_prime_UTR
LbrM2903_01	67512	67516	-	LBRM2903_010007300.1	five_prime_UTR
LbrM2903_01	71024	71250	-	LBRM2903_010007400.1	five_prime_UTR
LbrM2903_01	75387	75648	-	LBRM2903_010007500.1	five_prime_UTR
LbrM2903_01	76937	77511	-	LBRM2903_010007600.1	five_prime_UTR
LbrM2903_01	80081	80390	-	LBRM2903_010007700.1	five_prime_UTR
LbrM2903_01	85429	85441	-	LBRM2903_010007900.1	five_prime_UTR
LbrM2903_01	86386	86476	-	LBRM2903_010008000.1	five_prime_UTR
LbrM2903_01	88111	88118	-	LBRM2903_010008100.1	five_prime_UTR
LbrM2903_01	88850	88936	-	LBRM2903_010008200.1	five_prime_UTR
LbrM2903_01	89674	89766	+	LBRM2903_010008300.1	five_prime_UTR
LbrM2903_01	91182	91202	+	LBRM2903_010008400.1	five_prime_UTR
LbrM2903_01	92295	92430	+	LBRM2903_010008500.1	five_prime_UTR
